review,date,rating,name, address
Very clean| very comfortable and great location that is in walking distance to all sights and museums.,Aug 13| 2021,5,The Capital Hilton,1001 16th St NW| Washington| DC| 20036
Hotel is nice| quiet and comfortable. A little minus is a lack of refrigerator in the room.,Aug 12| 2021,4,The Capital Hilton,1001 16th St NW| Washington| DC| 20036
Was a very nice overnight stay. Would stay thereagain if in D.C.,Aug 9| 2021,5,The Capital Hilton,1001 16th St NW| Washington| DC| 20036
Great rooms and very clean!,Aug 9| 2021,5,The Capital Hilton,1001 16th St NW| Washington| DC| 20036
Great location| very nice hotel,Aug 8| 2021,5,The Capital Hilton,1001 16th St NW| Washington| DC| 20036
Best hotel experience in DC.,Aug 7| 2021,5,The Capital Hilton,1001 16th St NW| Washington| DC| 20036
The host was very rude,Aug 6| 2021,2,The Capital Hilton,1001 16th St NW| Washington| DC| 20036
Very friendly staff.,Aug 6| 2021,4,The Capital Hilton,1001 16th St NW| Washington| DC| 20036
Excelent hotel,Aug 2| 2021,5,The Capital Hilton,1001 16th St NW| Washington| DC| 20036
Great hotel..,Aug 1| 2021,5,The Capital Hilton,1001 16th St NW| Washington| DC| 20036
,Aug 1| 2021,5,The Capital Hilton,1001 16th St NW| Washington| DC| 20036
Only think I didn’t like it’s the parking| when I travel I don’t want to worry about that. But the rest was a good place,Jul 30| 2021,4,The Capital Hilton,1001 16th St NW| Washington| DC| 20036
,Jul 30| 2021,4,The Capital Hilton,1001 16th St NW| Washington| DC| 20036
They didn't clean my room and tried to call and ask for it but the phone is always busy.,Jul 30| 2021,3,The Capital Hilton,1001 16th St NW| Washington| DC| 20036
Restaurant only for breakfast no lunch or dinner,Jul 29| 2021,5,The Capital Hilton,1001 16th St NW| Washington| DC| 20036
,Jul 28| 2021,5,The Capital Hilton,1001 16th St NW| Washington| DC| 20036
They suppose to provide valet parking but they let the cars outside without that service. They charge 67 dollars per day,Jul 27| 2021,4,The Capital Hilton,1001 16th St NW| Washington| DC| 20036
,Jul 26| 2021,4,The Capital Hilton,1001 16th St NW| Washington| DC| 20036
The air conditioner wasn’t working good| we waited 1 day for maintenance and the second day we had to move to another room| and I received a charge of 23 and something I don’t know why.,Jul 21| 2021,4,The Capital Hilton,1001 16th St NW| Washington| DC| 20036
Convenient location for necessary trip,Jul 21| 2021,5,The Capital Hilton,1001 16th St NW| Washington| DC| 20036
,Aug 1| 2021,5,The Capital Hilton,1001 16th St NW| Washington| DC| 20036
Only think I didn’t like it’s the parking| when I travel I don’t want to worry about that. But the rest was a good place,Jul 30| 2021,4,The Capital Hilton,1001 16th St NW| Washington| DC| 20036
,Jul 30| 2021,4,The Capital Hilton,1001 16th St NW| Washington| DC| 20036
They didn't clean my room and tried to call and ask for it but the phone is always busy.,Jul 30| 2021,3,The Capital Hilton,1001 16th St NW| Washington| DC| 20036
Restaurant only for breakfast no lunch or dinner,Jul 29| 2021,5,The Capital Hilton,1001 16th St NW| Washington| DC| 20036
,Jul 28| 2021,5,The Capital Hilton,1001 16th St NW| Washington| DC| 20036
