review,date,rating,name, address
,Aug 22| 2021,4,Hilton Newark Airport,1170 Spring St| Elizabeth| NJ| 07201
Worst furniture and decor I’ve ever seen in a Hilton,Aug 22| 2021,4,Hilton Newark Airport,1170 Spring St| Elizabeth| NJ| 07201
Close to the airport makes traveling easy.  Staff was friendly.,Aug 19| 2021,5,Hilton Newark Airport,1170 Spring St| Elizabeth| NJ| 07201
Disgusting Hotel !! I do not recommend! DIRTY DUST EVERYWHERE| OLD FURTHERING| PARKING FEE PER DAY . This is unbelievable PRICE IS RIDICULOUS AS WELL $200 for 1 NIGHT ! Disgusting,Aug 17| 2021,1,Hilton Newark Airport,1170 Spring St| Elizabeth| NJ| 07201
Hotel was in very bad condition.  Old decor to include old wood paneling with glitter and popcorn ceilings.  The bathtub was painted yellow (years ago I’m sure) and the paint was chipping.  It also over flowed when we showered.  The bed was a little comfy even with the 1980’s leather headboard but other than that it was not a good stay.,Aug 16| 2021,2,Hilton Newark Airport,1170 Spring St| Elizabeth| NJ| 07201
Stay for a night,Aug 15| 2021,5,Hilton Newark Airport,1170 Spring St| Elizabeth| NJ| 07201
Property is great. My only thing is that Expedia and Hilton’s website never mentioned that the pool is currently closed. We specifically chose a hotel with a pool for our kids to unwind after a long flight.Also| Expedia said “breakfast available”| which I foolishly believed was free| so that was disappointing. Lesson learned| but frustrating as it seems a tad misleading. Overall the double beds were really comfortable| basic necessities| and a nice atmosphere. Just pricey (200/night) for not much included.,Aug 15| 2021,3,Hilton Newark Airport,1170 Spring St| Elizabeth| NJ| 07201
,Aug 13| 2021,4,Hilton Newark Airport,1170 Spring St| Elizabeth| NJ| 07201
,Aug 11| 2021,5,Hilton Newark Airport,1170 Spring St| Elizabeth| NJ| 07201
First of all you have an option to park in the lot or garage but dont expect to find a spot in either. After circling around for over 30 minutes i found a spot on the 3rd floor of the garage only to learn there is no elevator so carrying heavy luggage down stairs and in the rain for $24 is just ridiculous.  The bathrooms were gross and need to be updated in the wost way| you know its bad when you feel dirty after a shower because there is mold everywhere...Lastly the AC didn't work and the front desk was unhelpful as well as unsympathetic.,Aug 9| 2021,1,Hilton Newark Airport,1170 Spring St| Elizabeth| NJ| 07201
Staff was extra friendly when i checked in even upgraded my room,Aug 9| 2021,5,Hilton Newark Airport,1170 Spring St| Elizabeth| NJ| 07201
We had an amazing stay the staff was very friendly and helpful.,Aug 7| 2021,5,Hilton Newark Airport,1170 Spring St| Elizabeth| NJ| 07201
I spent 3 night here Mgmt telling me there is no housekeeping? I speak to house keeping they said yes they do housekeeping. No pool the whole weekend. No refrigerator in room furniture and walls with dents in them all over this is hilton and it looks like Filton?  Prices of foood was expensive and laundromats was a maze to find and in the gym ?,Aug 4| 2021,1,Hilton Newark Airport,1170 Spring St| Elizabeth| NJ| 07201
I like everything service room clean room,Aug 3| 2021,5,Hilton Newark Airport,1170 Spring St| Elizabeth| NJ| 07201
