review,date,rating,name, address
Z,Aug 18| 2021,4,Hampton Inn Chicago Downtown/Magnificent Mile,160 E Huron Street| Chicago| IL| 60611
Everyone at the front desk were very nice. The only problem I had was housekeeping knocking and entering at 8:00am and again at 10:00am. It only happened on checkout day thank goodness but it was aggravating. They are also not serving breakfast. Which we were fine with we like our sleep lol,Aug 17| 2021,4,Hampton Inn Chicago Downtown/Magnificent Mile,160 E Huron Street| Chicago| IL| 60611
,Aug 17| 2021,4,Hampton Inn Chicago Downtown/Magnificent Mile,160 E Huron Street| Chicago| IL| 60611
This was a nice hotel and the location was perfect! It is not as updated as newer hotels and had an older feeling to it. Even though they said that breakfast in included in the price| they do not offer breakfast and blame it on COVID.,Aug 16| 2021,3,Hampton Inn Chicago Downtown/Magnificent Mile,160 E Huron Street| Chicago| IL| 60611
location was great| we didn't like the air conditioning|  which cycled off too frequently. (Fan stayed on but AC compressor would turn off| the room would get warm...annoying if trying to sleep. No complimentary breakfast|  not even grab and go option.,Aug 14| 2021,3,Hampton Inn Chicago Downtown/Magnificent Mile,160 E Huron Street| Chicago| IL| 60611
Everything was great except the gdfish left on the chair. Guess the desk chair wasnt cleaned.,Aug 12| 2021,5,Hampton Inn Chicago Downtown/Magnificent Mile,160 E Huron Street| Chicago| IL| 60611
,Aug 11| 2021,5,Hampton Inn Chicago Downtown/Magnificent Mile,160 E Huron Street| Chicago| IL| 60611
It was good. I didn't like that we had to pay $66 dollars a day to park after paying $150 a night fore the motel room.,Aug 9| 2021,4,Hampton Inn Chicago Downtown/Magnificent Mile,160 E Huron Street| Chicago| IL| 60611
Great value for downtown hotel. Nothing super fancy but the rooms were clean and comfortable. Not having a free breakfast due to covid was the only bad thing about the place. The pool was nice.,Aug 9| 2021,4,Hampton Inn Chicago Downtown/Magnificent Mile,160 E Huron Street| Chicago| IL| 60611
,Aug 9| 2021,5,Hampton Inn Chicago Downtown/Magnificent Mile,160 E Huron Street| Chicago| IL| 60611
,Aug 6| 2021,5,Hampton Inn Chicago Downtown/Magnificent Mile,160 E Huron Street| Chicago| IL| 60611
Hotel was amazing but we park 3 blocks down off rush with parkchirp there scanner dont work so they try to charge you twice. But hotel was great customer service was great also location 5 star,Aug 5| 2021,5,Hampton Inn Chicago Downtown/Magnificent Mile,160 E Huron Street| Chicago| IL| 60611
I thoroughly enjoyed the flexibility they provided. Especially| Charles at the front desk was amazing. He got me an early check-in despite they were running full.,Aug 5| 2021,5,Hampton Inn Chicago Downtown/Magnificent Mile,160 E Huron Street| Chicago| IL| 60611
