review,date,rating,name, address
Friendly staff -Brooke was amazing|great location| good food| no complaints.,Aug 20| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
I recommended it for you when you staying in DC. 👍👍👍,Aug 19| 2021,4,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
Very clean| very nice bed and sheets smell fresh!,Aug 19| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
They were amazing ! 10/10 would recommend,Aug 17| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
,Aug 17| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
The area was amazing| along with the actual hotel and what all it offered!,Aug 17| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
That services are great. It’s the block it’s on that’s not so great and the size of the rooms are tiny,Aug 16| 2021,4,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
This hotel was amazing. Right on Chinatown and cross the street from the metro station so easy to go around. The rooms are a little small but staff were so nice and the rooms were clean. They also have a rooftop| restaurant and a bar that plays live music sometimes. One of the best hotel I been and will stay there again.,Aug 16| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
,Aug 16| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
The stay was comfortable.  The parking was around the corner from the Motto but within a 4 minute walk.  The ontime fee allowed unlimited access.,Aug 14| 2021,4,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
location was perfect| just a few blocks from the national mall and surrounded by great restaurants (farmers and distillers and jaleo were favorites of my partner and i). room was quite small but worked fine for what i needed and the price couldn’t be beat for the quality. staff was perfect and went above and beyond.,Aug 14| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
The staff was incredible and really helpful! Will be staying here again!,Aug 12| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
Staff was extremely friendly,Aug 12| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
,Aug 9| 2021,3,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
its nice,Aug 9| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
I loved how friendly the staff was as they were very welcoming. The rooms were also really clean although we did not expect how small it was at first when we booked it. I would stay here again though!,Aug 9| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
Located in a great area,Aug 9| 2021,4,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
Loved it. Have all ready recommended it to my friends.,Aug 9| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
,Aug 7| 2021,4,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
Comfy| enjoyable and have a lot to do in the area.,Aug 7| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
location was perfect| just a few blocks from the national mall and surrounded by great restaurants (farmers and distillers and jaleo were favorites of my partner and i). room was quite small but worked fine for what i needed and the price couldn’t be beat for the quality. staff was perfect and went above and beyond.,Aug 14| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
The staff was incredible and really helpful! Will be staying here again!,Aug 12| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
Staff was extremely friendly,Aug 12| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
,Aug 9| 2021,3,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
its nice,Aug 9| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
I loved how friendly the staff was as they were very welcoming. The rooms were also really clean although we did not expect how small it was at first when we booked it. I would stay here again though!,Aug 9| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
Located in a great area,Aug 9| 2021,4,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
Loved it. Have all ready recommended it to my friends.,Aug 9| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
,Aug 7| 2021,4,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
Comfy| enjoyable and have a lot to do in the area.,Aug 7| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
I only needed a one night stay and researched online. I chose Motto because of the price and location. I read reviews and people had complained about the lack of parking. Since I came up on the train it wasn’t an issue. I also read reviews about lack of cleanliness but I found the room and hotel to be very clean; no dust in the corners| no soap scum. It was tiny but I expected that. I didn’t need a room to hang out in  because I had things to do in DC. It was a place to sleep and take a shower and it met my needs. I had dinner in the restaurant on the lobby level and it was great. The rooftop bar had stunning views and was a lot of fun. The staff from the front desk to the bartenders were lovely and most friendly. Key cards were needed to gain access to the elevators so I felt safe. Not a good view from my room but it didn’t matter to me. I would definitely stay here again but the little bunk bed room would not be a place to hang out unless you want to stay in bed and watch tv| in which case would be very comfortable. I slept well and heard nothing from any other room or in he hall as I was on the end Totally met my needs.,Aug 1| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
,Jul 29| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
The rooms are small but also cute and comfortable. The hotel is in a great location| the subway is across the street| there is a Walgreens around the corner and good restaurants in the area. The restaurant inside the hotel is pretty good too. Also they have a small coffee shop that is open in the mornings. I stayed for 4 days with my 10 yr old daughter and we have no complaints. The only downside was that there are homeless people on that street| But it still felt safe. I always notice police officers in the area. My daughter and I loved our stay.,Jul 28| 2021,4,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
We really enjoyed our stay at Motto in DC. It was close enough to the things we wanted to do that we could walk| and right next to a metro station. On the down side| parking for 3 days in the recommended facility across the street cost $75 extra dollars.,Jul 26| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
very clean| convenient location| front staff was so kind.I stayed one queen bed room with two adults| this room was very tiny| I couldn't even open suitcase !,Jul 25| 2021,4,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
,Jul 25| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
Very nice service| very nice room| very nice location!,Jul 24| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
,Jul 23| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
Like the rest of DC... It was not a good neighborhood,Jul 23| 2021,4,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
This hotel was awesome!  It was very clean| neat and efficient.  I loved the newly renovated rooms.  There were five of us and we were all pleased with our room.  It was an effective use of space; comfortable bed| desk| storage and a beautiful bathroom.  The designers did a great job!  I can't say enough about the front desk personnel.  Jenni| Ishobel| and Brooke were very friendly| informative and very accommodating.,Jul 21| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
I only needed a one night stay and researched online. I chose Motto because of the price and location. I read reviews and people had complained about the lack of parking. Since I came up on the train it wasn’t an issue. I also read reviews about lack of cleanliness but I found the room and hotel to be very clean; no dust in the corners| no soap scum. It was tiny but I expected that. I didn’t need a room to hang out in  because I had things to do in DC. It was a place to sleep and take a shower and it met my needs. I had dinner in the restaurant on the lobby level and it was great. The rooftop bar had stunning views and was a lot of fun. The staff from the front desk to the bartenders were lovely and most friendly. Key cards were needed to gain access to the elevators so I felt safe. Not a good view from my room but it didn’t matter to me. I would definitely stay here again but the little bunk bed room would not be a place to hang out unless you want to stay in bed and watch tv| in which case would be very comfortable. I slept well and heard nothing from any other room or in he hall as I was on the end Totally met my needs.,Aug 1| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
,Jul 29| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
The rooms are small but also cute and comfortable. The hotel is in a great location| the subway is across the street| there is a Walgreens around the corner and good restaurants in the area. The restaurant inside the hotel is pretty good too. Also they have a small coffee shop that is open in the mornings. I stayed for 4 days with my 10 yr old daughter and we have no complaints. The only downside was that there are homeless people on that street| But it still felt safe. I always notice police officers in the area. My daughter and I loved our stay.,Jul 28| 2021,4,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
We really enjoyed our stay at Motto in DC. It was close enough to the things we wanted to do that we could walk| and right next to a metro station. On the down side| parking for 3 days in the recommended facility across the street cost $75 extra dollars.,Jul 26| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
very clean| convenient location| front staff was so kind.I stayed one queen bed room with two adults| this room was very tiny| I couldn't even open suitcase !,Jul 25| 2021,4,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
,Jul 25| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
Very nice service| very nice room| very nice location!,Jul 24| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
,Jul 23| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
Like the rest of DC... It was not a good neighborhood,Jul 23| 2021,4,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
This hotel was awesome!  It was very clean| neat and efficient.  I loved the newly renovated rooms.  There were five of us and we were all pleased with our room.  It was an effective use of space; comfortable bed| desk| storage and a beautiful bathroom.  The designers did a great job!  I can't say enough about the front desk personnel.  Jenni| Ishobel| and Brooke were very friendly| informative and very accommodating.,Jul 21| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
I only needed a one night stay and researched online. I chose Motto because of the price and location. I read reviews and people had complained about the lack of parking. Since I came up on the train it wasn’t an issue. I also read reviews about lack of cleanliness but I found the room and hotel to be very clean; no dust in the corners| no soap scum. It was tiny but I expected that. I didn’t need a room to hang out in  because I had things to do in DC. It was a place to sleep and take a shower and it met my needs. I had dinner in the restaurant on the lobby level and it was great. The rooftop bar had stunning views and was a lot of fun. The staff from the front desk to the bartenders were lovely and most friendly. Key cards were needed to gain access to the elevators so I felt safe. Not a good view from my room but it didn’t matter to me. I would definitely stay here again but the little bunk bed room would not be a place to hang out unless you want to stay in bed and watch tv| in which case would be very comfortable. I slept well and heard nothing from any other room or in he hall as I was on the end Totally met my needs.,Aug 1| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
,Jul 29| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
The rooms are small but also cute and comfortable. The hotel is in a great location| the subway is across the street| there is a Walgreens around the corner and good restaurants in the area. The restaurant inside the hotel is pretty good too. Also they have a small coffee shop that is open in the mornings. I stayed for 4 days with my 10 yr old daughter and we have no complaints. The only downside was that there are homeless people on that street| But it still felt safe. I always notice police officers in the area. My daughter and I loved our stay.,Jul 28| 2021,4,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
We really enjoyed our stay at Motto in DC. It was close enough to the things we wanted to do that we could walk| and right next to a metro station. On the down side| parking for 3 days in the recommended facility across the street cost $75 extra dollars.,Jul 26| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
very clean| convenient location| front staff was so kind.I stayed one queen bed room with two adults| this room was very tiny| I couldn't even open suitcase !,Jul 25| 2021,4,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
,Jul 25| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
Very nice service| very nice room| very nice location!,Jul 24| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
,Jul 23| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
Like the rest of DC... It was not a good neighborhood,Jul 23| 2021,4,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
This hotel was awesome!  It was very clean| neat and efficient.  I loved the newly renovated rooms.  There were five of us and we were all pleased with our room.  It was an effective use of space; comfortable bed| desk| storage and a beautiful bathroom.  The designers did a great job!  I can't say enough about the front desk personnel.  Jenni| Ishobel| and Brooke were very friendly| informative and very accommodating.,Jul 21| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
Friendly staff and easy access to the train| national mall| and tons of great restaurants. They even have a roof top bar and a breakfast cafe. Highly recommend!!,Jul 8| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
Great place to stay for DC. Right next to China Town gate and really close to the Mall etc. Not luxurious by any means but just exactly what we needed for our trip. Walgreens is next door if you need to stock up on stuff and cheaper food but the hotel’s cafe was excellent also| for breakfast and coffees. Also a very safe place to stay; key access to building| elevators and room.,Jul 8| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
Very small room and the parking situation was annoying but I was grateful that they partnered with a local parking garage for an affordable rate of $29. Also the front desk employee Brooke was such a pleasure- provided great service and was very knowledgeable.,Jul 7| 2021,4,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
The room was super small| but that is the brand. So just make sure you know that this is the type of room you're booking. The are is great- across from Metro-- but also the area is super loud; they give you ear plugs in your room. Only real issue-- I stayed for 3 nights| I asked for my room to be cleaned and it was never cleaned. When I mentioned it at checkout- they didn't really seem to apologetic for it or seemed to care.,Jul 7| 2021,3,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
Excellent location and access to everything.,Jul 6| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
,Jul 6| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
Very clean| friendly staff|  small size bedrooms but worth to stay. Convenience!!! Close to everything. Foods| Walgreens next door| transportation…😊,Jul 6| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
Staff friendly| accommodating and helpful. They saw my friend's wheelchair and our luggage and offered us a larger room.  No fridge in room| but extra luggage space under bed. Good wifi and outlets. Close to Chinatown metro and "Farmers and Distillers" and Clyde's restaurants; walking distance from Smithsonian.,Jul 6| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
Great hotel. It was very clean and modern. Make sure you pay attention to the room picture. It is a small room but is just like the picture. But we were out all the time| so we were there just to sleep.,Jul 5| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
,Jul 4| 2021,4,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
Friendly staff and easy access to the train| national mall| and tons of great restaurants. They even have a roof top bar and a breakfast cafe. Highly recommend!!,Jul 8| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
Great place to stay for DC. Right next to China Town gate and really close to the Mall etc. Not luxurious by any means but just exactly what we needed for our trip. Walgreens is next door if you need to stock up on stuff and cheaper food but the hotel’s cafe was excellent also| for breakfast and coffees. Also a very safe place to stay; key access to building| elevators and room.,Jul 8| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
Very small room and the parking situation was annoying but I was grateful that they partnered with a local parking garage for an affordable rate of $29. Also the front desk employee Brooke was such a pleasure- provided great service and was very knowledgeable.,Jul 7| 2021,4,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
The room was super small| but that is the brand. So just make sure you know that this is the type of room you're booking. The are is great- across from Metro-- but also the area is super loud; they give you ear plugs in your room. Only real issue-- I stayed for 3 nights| I asked for my room to be cleaned and it was never cleaned. When I mentioned it at checkout- they didn't really seem to apologetic for it or seemed to care.,Jul 7| 2021,3,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
Excellent location and access to everything.,Jul 6| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
,Jul 6| 2021,5,Motto by Hilton Washington DC City Center,627 H Street NW| Washington| DC| 20001
